"","AAMID","A1_BT","A2_NW","A3_SE","A4_NE_WC","A5_NC_EC","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","A1","A2","A3","A4","A5","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"117","AAM4297",0.002,0.007,0.009,0.02,0.962,"NC",123.5245169,0.66399715,0.0102,0.0048,0.0234,0.002,0.9596,"NC",123.5245169,0.66399715
"118","AAM4298",0.002,0.991,0.002,0.003,0.002,"NW",122.1253169,0.92184415,0.992,0.002,0.002,0.002,0.002,"NW",122.1253169,0.92184415
"119","AAM4299",0.002,0.991,0.002,0.003,0.002,"NW",122.1253169,0.92184415,0.9921,0.0019,0.002,0.002,0.002,"NW",122.1253169,0.92184415
"120","AAM4300",0.002,0.991,0.002,0.003,0.002,"NW",122.1253169,0.92184415,0.9917,0.002,0.002,0.002,0.0023,"NW",122.1253169,0.92184415
"121","AAM4301",0.002,0.991,0.002,0.003,0.002,"NW",122.1253169,0.92184415,0.9921,0.0018,0.002,0.002,0.0021,"NW",122.1253169,0.92184415
"122","AAM4302",0.019,0.004,0.018,0.006,0.953,"NW",121.9217969,0.68513215,0.0063,0.9851,0.0034,0.002,0.0032,"NW",121.9217969,0.68513215
"123","AAM4304",0.004,0.95,0.007,0.012,0.027,"NW",122.5,0.98,0.9813,0.002,0.003,0.003,0.0107,"NW",122.5,0.98
"124","AAM4305",0.002,0.979,0.005,0.006,0.009,"NW",122.1253169,0.92184415,0.99,0.002,0.002,0.002,0.004,"NW",122.1253169,0.92184415
"125","AAM4306",0.002,0.99,0.002,0.003,0.002,"NW",122.5,0.98,0.9911,0.002,0.002,0.002,0.0029,"NW",122.5,0.98
"126","AAM4307",0.002,0.991,0.002,0.003,0.002,"NW",122.5,0.98,0.992,0.0019,0.002,0.002,0.0021,"NW",122.5,0.98
"127","AAM4309",0.002,0.991,0.002,0.003,0.002,"NW",122.1253169,0.92184415,0.9915,0.002,0.002,0.002,0.0025,"NW",122.1253169,0.92184415
"128","AAM4310",0.002,0.003,0.009,0.011,0.975,"NW",122.5577969,0.61750015,0.0064,0.0108,0.0434,0.003,0.9364,"NW",122.5577969,0.61750015
"129","AAM4311",0.007,0.009,0.01,0.008,0.966,"NW",121.9217969,0.68513215,0.0164,0.004,0.0153,0.0067,0.9576,"NW",121.9217969,0.68513215
"130","AAM4312",0.833,0.003,0.012,0.142,0.009,"NW",122.1253169,0.92184415,0.004,0.0043,0.0068,0.9751,0.0098,"NW",122.1253169,0.92184415
"131","AAM4313",0.045,0.012,0.923,0.011,0.008,"SE",121.6716369,-3.70249385,0.0093,0.0064,0.9305,0.0455,0.0083,"SE",121.6716369,-3.70249385
"132","AAM4314",0.007,0.004,0.975,0.007,0.007,"SE",121.6716369,-3.70249385,0.004,0.0051,0.9799,0.005,0.006,"SE",121.6716369,-3.70249385
"133","AAM4315",0.091,0.003,0.824,0.021,0.061,"SE",122.0659569,-3.14875685,0.0044,0.0061,0.7225,0.1598,0.1072,"SE",122.0659569,-3.14875685
"134","AAM4316",0.453,0.003,0.175,0.033,0.336,"SE",122.5069169,-4.34499785,0.003,0.0044,0.0721,0.531,0.3895,"SE",122.5069169,-4.34499785
"135","AAM4318",0.094,0.003,0.887,0.005,0.011,"SE",122.3627569,-4.21818785,0.003,0.0066,0.7249,0.2567,0.0088,"SE",122.3627569,-4.21818785
"136","AAM4319",0.005,0.004,0.973,0.005,0.011,"SE",122.0701969,-3.26288585,0.004,0.0036,0.9731,0.0055,0.0138,"SE",122.0701969,-3.26288585
"137","AAM4320",0.004,0.006,0.941,0.006,0.043,"SE",122.0701969,-3.26288585,0.0066,0.0034,0.964,0.0031,0.0229,"SE",122.0701969,-3.26288585
"138","AAM4321",0.005,0.02,0.848,0.03,0.097,"SE",122.0617169,-3.40237685,0.0158,0.007,0.9251,0.0041,0.048,"SE",122.0617169,-3.40237685
"139","AAM4322",0.005,0.062,0.683,0.163,0.087,"SE",122,-3.8,NA,NA,NA,NA,NA,NA,NA,NA
"140","AAM4323",0.006,0.008,0.979,0.004,0.004,"SE",122.8291569,-4.21818785,0.003,0.002,0.9862,0.0058,0.003,"SE",122.8291569,-4.21818785
"141","AAM4324",0.011,0.003,0.963,0.012,0.011,"SE",122,-3.8,NA,NA,NA,NA,NA,NA,NA,NA
"142","AAM4325",0.015,0.002,0.973,0.004,0.006,"SE",122,-3.8,NA,NA,NA,NA,NA,NA,NA,NA
"143","AAM4326",0.008,0.003,0.977,0.006,0.006,"SE",122.7273969,-4.26468485,0.003,0.003,0.9717,0.0107,0.0116,"SE",122.7273969,-4.26468485
"144","AAM4327",0.008,0.003,0.977,0.006,0.006,"SE",122.5959569,-4.31540885,0.002,0.95,0.0368,0.003,0.0082,"SE",122.5959569,-4.31540885
"145","AAM4328",0.009,0.003,0.971,0.009,0.008,"SE",122.8291569,-4.21818785,0.002,0.003,0.9811,0.009,0.0049,"SE",122.8291569,-4.21818785
"146","AAM4329",0.004,0.117,0.816,0.01,0.053,"SE",122.8291569,-4.21818785,0.054,0.0027,0.9124,0.0035,0.0274,"SE",122.8291569,-4.21818785
"147","AAM4330",0.007,0.002,0.986,0.003,0.002,"SE",122.8291569,-4.21818785,0.002,0.002,0.9876,0.0064,0.002,"SE",122.8291569,-4.21818785
"148","AAM4331",0.012,0.022,0.948,0.01,0.008,"SE",121.3409169,-2.91627185,0.0117,0.0036,0.9685,0.0102,0.006,"SE",121.3409169,-2.91627185
"149","AAM4357",0.02,0.01,0.202,0.373,0.395,"SE",122,-3.8,NA,NA,NA,NA,NA,NA,NA,NA
"150","AAM4360",0.019,0.011,0.211,0.459,0.3,"SE",122.811865,-4.378777,NA,NA,NA,NA,NA,NA,NA,NA
"151","AAM4365",0.032,0.008,0.497,0.258,0.205,"WC",120.151978,-1.257834,NA,NA,NA,NA,NA,NA,NA,NA
"152","AAM4389",0.037,0.013,0.183,0.493,0.274,"WC",119.86084,-0.933797,NA,NA,NA,NA,NA,NA,NA,NA
