"","AAMID","S1_NW","S2_PE","S3.x","S4_SE_BT","S5_WC_SW","S6_BU","S7_EC","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","S1","S2","S3.y","S4","S5","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"154","AAM2211",0,0,0,0.003,0,0,0.997,"EC",121.32,-1.65,0.6455,0.0638,0.0585,0.0042,0.228,"EC",121.32,-1.65
"155","AAM2212",0,0,0,0.008,0.038,0,0.954,"EC",121.34,-2.51,0.4841,0.4515,0.0065,0.011,0.0469,"EC",121.34,-2.51
"156","AAM2213",0,0,0,0.249,0.009,0,0.743,"EC",121.34,-2.51,0.0491,0.8988,0.0044,0.0273,0.0204,"EC",121.34,-2.51
"157","AAM2214",0,0,0,0.379,0.002,0,0.619,"EC",121.34,-2.51,0.0279,0.9313,0.0046,0.0064,0.0298,"EC",121.34,-2.51
"158","AAM2215",0,0,0,0.029,0.034,0,0.937,"EC",121.34,-2.51,0.0614,0.7927,0.0118,0.0674,0.0666,"EC",121.34,-2.51
"159","AAM2801",0,0,0,1,0,0,0,"SE",121.06,-3.1,NA,NA,NA,NA,NA,NA,NA,NA
"160","AAM2802",0,0,0,1,0,0,0,"SE",122.05,-3.18,NA,NA,NA,NA,NA,NA,NA,NA
"161","AAM2803",0,0,0,1,0,0,0,"SE",121.14,-3.24,NA,NA,NA,NA,NA,NA,NA,NA
"162","AAM2804",0,0,0,1,0,0,0,"SE",121.6,-4.05,NA,NA,NA,NA,NA,NA,NA,NA
"163","AAM3028",0.978,0,0,0,0,0,0.022,"NW",122.5,0.9833,0.0033,0.0032,0.9483,0.0018,0.0434,"NW",122.5,0.9833
"164","AAM3030",0.777,0,0,0.117,0.002,0,0.104,"NC",122.918889,0.8275,0.1817,0.4658,0.2698,0.0051,0.0776,"NC",122.918889,0.8275
"165","AAM3032",0.003,0,0,0.004,0.043,0,0.95,"NW",121.9503,1.0541,0.0198,0.1183,0.4337,0.0267,0.4015,"NW",121.9503,1.0541
"166","AAM3034",0,0,0,0.001,0,0,0.999,"NC",122.918889,0.8275,0.4645,0.3381,0.1336,0.014,0.0498,"NC",122.918889,0.8275
"167","AAM3041",0.021,0,0,0,0.962,0,0.017,"NW",120.81,1.05,0.006,0.0085,0.7194,0.0055,0.2606,"NW",120.81,1.05
"168","AAM3042",1,0,0,0,0,0,0,"NW",120.81,1.05,0.0028,0.0032,0.9767,0.0018,0.0155,"NW",120.81,1.05
"169","AAM3045",0.142,0,0.013,0.002,0.477,0,0.367,"SE",123.0333,-4,0.0394,0.4742,0.2168,0.2238,0.0459,"SE",123.0333,-4
"170","AAM3048",0,0,0.016,0.006,0.967,0,0.011,"WC",120.088,-0.707,0.0263,0.0341,0.3437,0.0026,0.5933,"WC",120.088,-0.707
"171","AAM3069",0,0,0,0,0.997,0,0.003,"NE",124.9,1.5,0.024,0.0054,0.1022,0.0412,0.8272,"NE",124.9,1.5
"172","AAM3072",0,0,0,0,0.999,0,0.001,"SW",119.62,-3.87,0.0221,0.0046,0.018,0.0034,0.9519,"SW",119.62,-3.87
"173","AAM3074",0,0,0,0,1,0,0,"NE",124.9,1.5,0.01,0.0077,0.0429,0.0348,0.9046,"NE",124.9,1.5
"174","AAM3106",0,0,0.005,0,0.001,0,0.993,"EC",122.5,-0.91,0.9341,0.0091,0.011,0.0192,0.0266,"EC",122.5,-0.91
"175","AAM3107",0.277,0,0.025,0.051,0,0,0.647,"EC",122.53,-0.89,0.8319,0.0256,0.0987,0.0245,0.0193,"EC",122.53,-0.89
"176","AAM3108",0,0,0,0,0,0,1,"EC",122.53,-0.89,0.9658,0.0076,0.0073,0.0063,0.013,"EC",122.53,-0.89
"177","AAM3110",0.002,0,0,0.012,0,0,0.986,"EC",122.53,-0.89,0.9103,0.0324,0.0389,0.0035,0.0149,"EC",122.53,-0.89
"178","AAM3116",0.004,0,0,0,0.923,0,0.073,"WC",119.986,-1.445,0.0596,0.006,0.0377,0.0029,0.8938,"WC",119.986,-1.445
